,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
20,0.049412346,0.008262238,0.00379982,0.000400629,1,21,"{'model__C': 1, 'model__max_iter': 21}",0.995,0.994,0.991,0.994,0.993,0.9934,0.001356466,1
27,0.053009462,0.010603633,0.004600048,0.001742837,3,21,"{'model__C': 3, 'model__max_iter': 21}",0.994,0.994,0.991,0.995,0.993,0.9934,0.001356466,1
34,0.037005901,0.006696002,0.004602814,0.002243971,10,21,"{'model__C': 10, 'model__max_iter': 21}",0.994,0.993,0.991,0.996,0.993,0.9934,0.001624808,1
19,0.046011877,0.003167856,0.005204153,0.000979094,1,18,"{'model__C': 1, 'model__max_iter': 18}",0.994,0.994,0.991,0.994,0.993,0.9932,0.00116619,4
48,0.043811321,0.009195979,0.004201746,0.000398486,100,21,"{'model__C': 100, 'model__max_iter': 21}",0.993,0.992,0.993,0.996,0.992,0.9932,0.001469694,5
11,0.045810747,0.005879874,0.004999113,0.00141472,0.3,15,"{'model__C': 0.3, 'model__max_iter': 15}",0.995,0.995,0.988,0.993,0.994,0.993,0.002607681,6
12,0.053610516,0.008544638,0.003798342,0.000749504,0.3,18,"{'model__C': 0.3, 'model__max_iter': 18}",0.995,0.994,0.989,0.993,0.994,0.993,0.002097618,6
25,0.045211411,0.007834257,0.004000854,0.000633947,3,15,"{'model__C': 3, 'model__max_iter': 15}",0.993,0.993,0.991,0.995,0.993,0.993,0.001264911,6
26,0.050413895,0.011657036,0.004801416,0.000749276,3,18,"{'model__C': 3, 'model__max_iter': 18}",0.994,0.994,0.991,0.994,0.992,0.993,0.001264911,6
41,0.053413582,0.008358964,0.005001402,0.001263577,30,21,"{'model__C': 30, 'model__max_iter': 21}",0.994,0.992,0.991,0.996,0.992,0.993,0.001788854,6
55,0.027403831,0.005647848,0.003801727,0.001939557,300,21,"{'model__C': 300, 'model__max_iter': 21}",0.993,0.992,0.993,0.996,0.991,0.993,0.00167332,6
