,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__kernel,param_model__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7,0.485714722,0.049846381,0.038208294,0.010325112,1,rbf,,"{'model__C': 1, 'model__kernel': 'rbf'}",0.999,1,0.999,1,0.999,0.9994,0.000489898,1
4,0.595935154,0.081900757,0.046409225,0.008253673,0.3,rbf,,"{'model__C': 0.3, 'model__kernel': 'rbf'}",0.999,0.998,0.997,0.999,0.999,0.9984,0.0008,2
1,0.966212797,0.052915919,0.069418335,0.009357683,0.1,rbf,,"{'model__C': 0.1, 'model__kernel': 'rbf'}",0.998,0.997,0.996,0.995,0.997,0.9966,0.001019804,3
17,0.368485355,0.016029447,0.011002636,0.000631281,1,poly,2,"{'model__C': 1, 'model__degree': 2, 'model__kernel': 'poly'}",0.997,0.998,0.994,0.998,0.995,0.9964,0.001624808,4
18,0.445297956,0.052764666,0.016003227,0.004000258,1,poly,3,"{'model__C': 1, 'model__degree': 3, 'model__kernel': 'poly'}",1,0.996,0.994,0.997,0.993,0.996,0.00244949,5
13,0.561124086,0.0466632,0.024004984,0.008581302,0.3,poly,2,"{'model__C': 0.3, 'model__degree': 2, 'model__kernel': 'poly'}",0.996,0.998,0.992,0.994,0.993,0.9946,0.002154066,6
6,0.210048199,0.030087618,0.005601692,0.000802906,1,linear,,"{'model__C': 1, 'model__kernel': 'linear'}",0.995,0.995,0.993,0.995,0.992,0.994,0.001264911,7
0,0.221046495,0.018907224,0.008604002,0.001856103,0.1,linear,,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.995,0.995,0.99,0.992,0.995,0.9934,0.002059126,8
3,0.20465126,0.019565706,0.005599546,0.000804932,0.3,linear,,"{'model__C': 0.3, 'model__kernel': 'linear'}",0.996,0.995,0.99,0.992,0.992,0.993,0.00219089,9
14,0.663147545,0.040801909,0.021006536,0.001098205,0.3,poly,3,"{'model__C': 0.3, 'model__degree': 3, 'model__kernel': 'poly'}",0.994,0.989,0.989,0.987,0.987,0.9892,0.00256125,10
9,0.805778837,0.034593244,0.029807663,0.002561571,0.1,poly,2,"{'model__C': 0.1, 'model__degree': 2, 'model__kernel': 'poly'}",0.989,0.989,0.988,0.982,0.981,0.9858,0.003544009,11
19,0.643943119,0.038591067,0.027605915,0.011113157,1,poly,4,"{'model__C': 1, 'model__degree': 4, 'model__kernel': 'poly'}",0.987,0.987,0.984,0.978,0.978,0.9828,0.004069398,12
2,0.667750597,0.071713665,0.022802925,0.002040285,0.1,sigmoid,,"{'model__C': 0.1, 'model__kernel': 'sigmoid'}",0.987,0.982,0.981,0.977,0.982,0.9818,0.003187475,13
10,1.013431787,0.051276598,0.042006254,0.007796017,0.1,poly,3,"{'model__C': 0.1, 'model__degree': 3, 'model__kernel': 'poly'}",0.979,0.972,0.972,0.97,0.971,0.9728,0.003187475,14
5,0.421299839,0.015036887,0.014798594,0.000756313,0.3,sigmoid,,"{'model__C': 0.3, 'model__kernel': 'sigmoid'}",0.978,0.977,0.971,0.963,0.968,0.9714,0.005607138,15
20,0.733173895,0.037735954,0.024205589,0.000983344,1,poly,5,"{'model__C': 1, 'model__degree': 5, 'model__kernel': 'poly'}",0.974,0.967,0.968,0.965,0.96,0.9668,0.004534314,16
15,0.946411419,0.039966076,0.033007383,0.009013684,0.3,poly,4,"{'model__C': 0.3, 'model__degree': 4, 'model__kernel': 'poly'}",0.97,0.964,0.969,0.967,0.962,0.9664,0.003006659,17
8,0.371082592,0.037823478,0.015203094,0.002040264,1,sigmoid,,"{'model__C': 1, 'model__kernel': 'sigmoid'}",0.97,0.974,0.962,0.954,0.964,0.9648,0.00688186,18
16,1.124052525,0.115001077,0.043213177,0.012416466,0.3,poly,5,"{'model__C': 0.3, 'model__degree': 5, 'model__kernel': 'poly'}",0.95,0.939,0.94,0.943,0.937,0.9418,0.004534314,19
11,1.320287085,0.098341123,0.042808914,0.005981012,0.1,poly,4,"{'model__C': 0.1, 'model__degree': 4, 'model__kernel': 'poly'}",0.947,0.937,0.94,0.937,0.943,0.9408,0.003815757,20
12,1.489930248,0.09651442,0.055011606,0.011029705,0.1,poly,5,"{'model__C': 0.1, 'model__degree': 5, 'model__kernel': 'poly'}",0.914,0.904,0.909,0.915,0.904,0.9092,0.004707441,21
